gene,score
SLN,52.73438
METTL7B,48.387447
MT2A,43.130817
NNMT,40.23122
CD63,39.116337
SPP1,35.802853
PKM,35.108284
PTN,33.510468
TIMP1,32.60323
TMEM158,32.55448
GPC1,32.54454
SERPINA3,31.630356
SPARC,31.498827
SCG2,31.173864
EFEMP1,30.162895
APLP2,28.964523
MAP1B,28.846098
PDIA6,28.038553
ANXA2,27.544699
UCHL1,27.424482
CALB1,26.993715
POSTN,26.984781
S100B,26.942856
NES,26.579496
UQCRQ,26.549149
FABP5,26.369297
PPIB,26.144989
TNFRSF12A,25.650091
PEG10,25.53699
PDLIM4,25.519775
COX6C,25.286362
TUBA1A,24.329908
DBI,24.054417
CD151,24.037281
TUBA1B,23.279627
SLC20A1,23.03824
FJX1,22.99903
CORO2B,22.780453
ATP5F1E,22.572058
SV2B,22.440817
SERF2,22.343748
PYGB,22.32743
GAP43,22.069172
MT3,21.926456
UNC5D,21.874222
CLU,21.79544
AC092958.1,21.757296
P4HB,21.606142
DHCR7,21.215584
ITM2B,21.057047
SCD,20.964706
COX5B,20.93729
ATP1B2,20.784752
CANX,20.394466
CAVIN3,20.377724
ZNF436,20.360876
IFITM2,20.35034
SH3BGRL3,20.125267
IDS,19.991226
HS6ST1,19.94058
CSRP2,19.714533
PLXNA1,19.536495
MT1X,19.485256
IFITM3,19.4132
SRPX2,19.27111
HSP90B1,19.151968
BEX3,19.071821
BSCL2,19.049353
HLA-DPA1,18.911194
SLC10A4,18.741518
SCG5,18.582193
CFI,18.470467
TUBB,18.41486
CTSA,18.399086
TUBA1C,18.266703
TTYH1,18.132725
SSR4,18.126682
CA11,17.977482
PLD3,17.820671
S100A11,17.755207
ADAM9,17.72298
ELMOD1,17.695526
SDF4,17.674892
NAA38,17.618933
POLR2L,17.469255
PDIA3,17.334019
SERPING1,17.128117
COL6A1,17.098618
PPIA,17.076994
H3F3A,16.950953
OCIAD2,16.881716
S100A16,16.734312
COX6A1,16.60064
NENF,16.59084
CROT,16.537413
CALR,16.30661
PDPN,16.280247
SPOCD1,16.10206
TUBB3,16.085203
CHRNA9,16.06907
ECI2,16.020718
SOD1,16.007431
CST3,15.961909
LZTS1,15.941524
CNR1,15.89069
TBCA,15.784758
RCAN1,15.755439
LPL,15.619655
DBNDD1,15.601052
PRDX4,15.509015
NDUFB1,15.459419
ATOX1,15.441103
OST4,15.371898
ELOVL5,15.291217
TUBB2A,15.237516
RNASEK,15.208456
PLS3,15.195576
TMSB10,15.1822195
TTYH3,15.024905
COLGALT2,15.024242
PFN2,15.008997
CNIH3,14.996182
NOMO1,14.975933
FKBP1A,14.917018
HEXB,14.896861
LAMP2,14.847965
LPCAT1,14.753048
SYNM,14.697368
ROMO1,14.625679
COX7A2,14.569825
GNAS,14.50294
NDUFA13,14.370583
ITGA3,14.348477
CLIC4,14.317931
NME1,14.309341
TXNDC17,14.294014
DIRAS3,14.265186
HIF1A,14.2643385
UBL5,14.257521
ATP5MF,14.254451
CD276,14.22378
PEBP1,14.137669
CHPF,14.043993
ELOB,14.002516
HMGN3,13.99313
NECTIN3,13.990027
LMAN2,13.988499
CLSTN1,13.987079
CDK2AP1,13.955014
PAM,13.876439
AP1S2,13.8510065
ACP6,13.801224
CYSTM1,13.72533
SELENON,13.720815
PIGT,13.719185
CD320,13.706651
PTPRZ1,13.581277
RCN1,13.576945
UQCR11,13.532843
TXNDC5,13.505129
TMSB4X,13.490535
SARAF,13.454498
PDIA4,13.440373
DNAH9,13.424231
PXN,13.416884
PARK7,13.383467
ANAPC11,13.358503
FASN,13.356332
PSMB4,13.276085
SNRPG,13.219609
RPN2,13.219287
IL6ST,13.143531
IFNGR2,13.134974
SLC4A4,13.0940695
ANKH,13.02519
LONRF2,13.023095
AGPAT5,13.01982
LIMS1,13.005251
TMED9,12.998613
RTN4,12.961883
MLLT11,12.878711
NDUFS8,12.826608
CHST2,12.779701
NDUFA1,12.713289
NRXN3,12.699094
BCAT1,12.668419
FCGBP,12.662987
MIF,12.631923
EMP1,12.630971
LIPA,12.624762
QDPR,12.595715
RAN,12.569716
PRDX2,12.489131
EFNB2,12.472873
CASP3,12.443992
NDUFA7,12.383343
NPC2,12.306992
G6PD,12.301437
ERG28,12.261106
SLC1A2,12.248092
HINT1,12.200604
F2R,12.193389
WWTR1,12.16683
GUSB,12.147959
CITED1,12.139938
PLA2G5,12.070434
TMED10,12.04744
IGFBP2,11.880765
CA2,11.845176
CAMK1,11.808404
PCSK1N,11.8028965
PHLDA2,11.790793
ATRAID,11.779836
MDK,11.765253
ATP5MPL,11.754593
DHCR24,11.718574
PHC2,11.718562
TAF10,11.700003
GSTP1,11.652286
CHID1,11.604617
NAMPT,11.577754
NDUFC1,11.577012
ZMYND8,11.56118
ERGIC3,11.55592
TNFRSF1A,11.548638
ATP1B3,11.5355425
ATP5MG,11.49407
FLOT1,11.482136
TENM2,11.448412
COX7B,11.434048
ITGB8,11.394306
NDUFS5,11.385579
SLAIN1,11.364455
ABHD17C,11.286519
COX17,11.263195
KLHDC8A,11.237311
NAA10,11.233839
PSMA1,11.220466
C1R,11.219295
APRT,11.218612
TMEM59,11.177659
CALM3,11.174515
GPM6A,11.122561
NDUFA2,11.0962925
SUB1,11.088239
LGALS3BP,11.066671
SEMA6A,11.042674
CAPN5,11.041375
NDUFA4,10.979758
SHC1,10.9795885
NDUFB2,10.962501
EMC10,10.952724
PSMB3,10.950394
CHGB,10.927176
DYNLL1,10.8831
MMP19,10.872644
ERP29,10.8683195
A2M,10.860962
PSMB2,10.860575
CALM1,10.859434
PGD,10.855298
NME2,10.849693
SRP14,10.834063
INPP5F,10.828966
PLAT,10.821217
DDOST,10.806698
PPT1,10.800968
CDC42EP4,10.780963
