Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,HALLMARK_HYPOXIA,0.6949813998259232,2.293094684673537,0.0,0.0,0.0,77/192,3.36%,GAPDH;VEGFA;PGK1;ENO1;ADM;SLC2A1;ENO2;LDHA;MIF;JUN;TPI1;FOS;NDRG1;GPI;WSB1;FAM162A;AK4;SLC2A3;BNIP3L;MT2A;ERRFI1;IRS2;DDIT3;ANGPTL4;CA12;BHLHE40;PPP1R15A;STC2;P4HA1;BTG1;KDM3A;PFKP;DDIT4;SCARB1;CCN1;PPFIA4;ALDOA;ERO1A;PNRC1;PLIN2;MXI1;TMEM45A;PFKFB3;HK2;SLC6A6;F3;JMJD6;GBE1;RORA;MAFF;PDK1;GYS1;CDKN1A;TIPARP;CDKN1B;PIM1;FOSL2;ADORA2B;PGM1;ZFP36;CXCR4;CCNG2;LOX;P4HA2;RRAGD;KLF6;ATF3;SAP30;KLHL24;TPD52;SDC4;DUSP1;MT1E;PDK3;ALDOC;ZNF292;PFKL
prerank,HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.633628912519544,2.071429005280829,0.0,0.0,0.0,65/197,6.11%,VEGFA;CEBPD;JUN;FOS;EIF1;SLC2A3;IRS2;BHLHE40;PPP1R15A;GADD45A;JUNB;BTG1;NAMPT;GADD45B;DUSP4;CCN1;EGR1;SQSTM1;PNRC1;PFKFB3;F3;EGR2;ID2;MAFF;ICAM1;PER1;BCL6;BTG2;SOCS3;CDKN1A;TIPARP;FOSL2;CEBPB;ZFP36;KLF10;KLF6;ATF3;TNIP1;PTGS2;SDC4;HBEGF;DUSP1;KDM6B;JAG1;PHLDA1;TRIB1;BTG3;CCNL1;MCL1;RELA;GEM;EGR3;SAT1;NFKB2;BIRC3;HES1;PLPP3;IER2;MXD1;SMAD3;DENND5A;NFKBIA;PDLIM5;FOSL1;LIF
prerank,HALLMARK_APICAL_JUNCTION,-0.639398299222795,-1.9011106172852332,0.0,0.0,0.0,93/192,16.96%,MYH9;CD99;VWF;ITGB1;GNAI2;MYL12B;MYL9;CLDN5;THY1;SDC3;PFN1;ITGA3;PECAM1;FLNC;MDK;MMP2;ZYX;NECTIN2;TGFBI;ACTN4;ITGA2;VCAN;ARPC2;ITGB4;CD276;EPB41L2;FSCN1;BMP1;PARVA;CAP1;VASP;CDH11;CD34;ADAM15;CX3CL1;NLGN3;FBN1;SPEG;PTEN;CDH4;ITGA10;JUP;SYMPK;CRAT;VCL;COL16A1;YWHAH;RSU1;ACTG2;CDH6;B4GALT1;ARHGEF6;PIK3R3;TNFRSF11B;CADM3;MMP9;CLDN7;TJP1;FYB1;SHC1;CLDN11;TAOK2;JAM3;MPZL2;ICAM2;MAP4K2;MVD;PTPRC;NF2;SRC;MPZL1;NRXN2;MAP3K20;TMEM8B;TSPAN4;INSIG1;PCDH1;NFASC;MAPK11;CERCAM;IKBKG;ACTB;CNTN1;GNAI1;CTNNA1;THBS3;SHROOM2;SLIT2;RRAS;COL9A1;CD86;VAV2;PTK2
prerank,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-0.632880307403793,-1.8761343159037116,0.0,0.0,0.0,109/199,9.01%,COL6A2;CD59;SPARC;POSTN;TAGLN;ITGB1;ITGB5;MGP;CCN2;MYL9;TIMP3;GJA1;BGN;THY1;ITGAV;COL4A2;COL4A1;PDGFRB;COL1A2;FSTL1;ACTA2;TNC;IGFBP4;TIMP1;COL3A1;IGFBP3;COL1A1;DKK1;DCN;MMP14;CDH2;HTRA1;FN1;LAMC1;TPM2;PPIB;CALU;COL5A2;COL5A1;TPM1;FBLN1;COL5A3;SERPINH1;TPM4;ITGA5;MMP2;QSOX1;PDLIM4;CAPG;CTHRC1;TNFRSF12A;THBS2;NT5E;TGFBI;TGFB1;ITGA2;VCAN;GPC1;PMEPA1;THBS1;LAMA2;LUM;BMP1;CDH11;WIPF1;MEST;PCOLCE;DAB2;COL6A3;EDIL3;FBN1;LOXL2;SERPINE2;MYLK;ELN;NTM;LRP1;ECM1;CRLF1;COL16A1;PRRX1;TGM2;SGCB;FERMT2;CDH6;MXRA5;RGS4;PLOD3;MATN2;ANPEP;TNFRSF11B;BASP1;APLP1;CXCL12;PLAUR;COLGALT1;SPP1;SDC1;ECM2;FMOD;SFRP4;COL12A1;FLNA;FBLN5;P3H1;MSX1;ADAM12;FBLN2;NID2
prerank,HALLMARK_INTERFERON_ALPHA_RESPONSE,-0.6796071052044372,-1.8385231600311107,0.0,0.0,0.0,46/96,15.24%,HLA-C;B2M;CD74;IFI27;LY6E;IFITM3;TXNIP;CNP;PLSCR1;ISG15;LPAR6;OAS1;LAP3;C1S;UBA7;IFI35;IL4R;IFI30;IFI44;PROCR;PSMB8;PSMA3;TAP1;MOV10;PSME2;IFI44L;IFITM2;PSMB9;PARP12;NCOA7;PARP9;IFIT3;TRIM26;MX1;LGALS3BP;IRF2;RNF31;HERC6;TRIM14;PARP14;CSF1;GBP4;SP110;MVB12A;RTP4;SAMD9
prerank,HALLMARK_GLYCOLYSIS,0.5442073610188302,1.7832891496592125,0.0,0.0005359056806002144,0.002,43/190,3.42%,VEGFA;PGK1;ENO1;ENO2;LDHA;MIF;TPI1;NOL3;FAM162A;AK4;IRS2;ANGPTL4;STC2;P4HA1;SLC16A3;PFKP;DDIT4;PKM;PPFIA4;SPAG4;ALDOA;ERO1A;TGFA;MXI1;PLOD2;HK2;PYGL;ABCB6;GYS1;PGAM1;ADORA2B;EGLN3;ANG;CXCR4;P4HA2;RRAGD;SAP30;SOD1;MPI;PDK3;ZNF292;MDH1;ARPP19
prerank,HALLMARK_COAGULATION,-0.620971300007677,-1.7403461056062342,0.0,0.0,0.0,50/118,11.76%,CTSB;C3;SPARC;VWF;GSN;TIMP3;CRIP2;C1QA;TIMP1;ANXA1;MMP14;PECAM1;HTRA1;FN1;RAC1;MMP2;CTSH;FURIN;ITGA2;C1R;APOC2;S100A13;THBS1;BMP1;CSRP1;FYN;GNG12;FBN1;CAPN5;PLAT;PROS1;SERPINA1;C1S;LRP1;PDGFB;DUSP6;PRSS23;CFD;MMP9;SERPING1;CFH;OLR1;KLF7;CAPN2;PLAU;TFPI2;GNB2;MMP11;MMP15;CTSK
prerank,HALLMARK_MTORC1_SIGNALING,0.5267577006762396,1.734992947688162,0.0,0.0006028938906752411,0.003,49/197,5.84%,GAPDH;PGK1;ENO1;IGFBP5;SLC2A1;LDHA;TPI1;GPI;AK4;SLC2A3;DDIT3;BHLHE40;PPP1R15A;P4HA1;CD9;NAMPT;DDIT4;SCD;ALDOA;ERO1A;SQSTM1;PLOD2;HK2;SLC6A6;GBE1;NUPR1;PDK1;BTG2;HSPA9;CDKN1A;PGM1;ATP6V1D;CANX;EGLN3;CXCR4;TUBA4A;IFRD1;PFKL;ADIPOR2;SYTL2;CACYBP;COPS5;CTH;GLRX;UBE2D3;UFM1;NFKBIB;LTA4H;EDEM1
prerank,HALLMARK_APICAL_SURFACE,-0.6939258456409774,-1.674671865707003,0.0,0.0015034695451040863,0.007,20/39,16.31%,SRPX;THY1;APP;DCBLD2;SULF2;CX3CL1;NTNG1;B4GALT1;ADAM10;FLOT2;PLAUR;HSPB1;GAS1;TMEM8B;MDGA1;LYN;EPHB4;AFAP1L2;SHROOM2;AKAP7
prerank,HALLMARK_COMPLEMENT,-0.5598954702175001,-1.6585118052622092,0.0,0.0016108602268972351,0.009,74/190,14.60%,CTSB;CD59;C3;GNAI2;C1QA;COL4A2;HSPA5;C1QC;PFN1;CTSD;TIMP1;TIMP2;CTSC;ATOX1;MMP14;FN1;CTSH;SH2B3;C1R;PLSCR1;S100A13;CTSS;CSRP1;FYN;SPOCK2;RHOG;PLAT;LAP3;SERPINA1;FCER1G;CPM;C1S;LRP1;CD55;GNG2;CTSL;PDGFB;DUSP6;EHD1;DOCK9;USP14;NOTCH4;DOCK10;PLAUR;GMFB;MSRB1;SERPING1;CDH13;LTF;PSMB9;CFH;GNB4;LIPA;CALM1;OLR1;ZEB1;ME1;CA2;ERAP2;IRF2;CASP7;TFPI2;SRC;GNB2;MMP15;LYN;CD46;PIK3R5;PRKCD;ADRA2B;PDP1;CDK5R1;CALM3;ITGAM
